A,AAP,AAPL
25.85,41.54,165.298
25.22,41.5,165.18
25.29,41.62,166.55
25.86,41.2,170.31
26.41,41.5,172.93
27.15,41.55,171.14
27.86,40.61,172.56
28.05,39.15,172.16
28.1,39.67,173.72
28.32,39.03,175.16
28.63,38.78,181.87
28.49,38.71,184.55
28.37,39.28,185.02
28.81,40.11,184.02
28.53,40.32,184.48
28.27,38.63,185.5
27.83,38.98,183.82
27.58,39.17,182.37
27.89,39.39,186.1519
27.9,39.19,185.38
27.83,39.28,185.35
26.61,37.94,180.8599
26.31,37.48,184.9
26.82,37.65,186.024
27.22,38.6,190.01
27.1,38.59,190.25
27.4,38.38,189.27
27.47,38.47,190.47
27.46,38.26,190.81
27.29,38.14,190.02
27.59,39.2,191.29
27.62,39.37,190.56
27.21,39.65,188.05
27.4,39.41,189.86
26.47,38.4,198.76
26.88,37.46,204.92
26.87,37.74,205.2
26.2,36.7,203.94
25.71,36.61,202.48
25.73,36.91,197.37
25.32,36.49,192.4
25.73,37.25,196.35
24.74,37.26,188.5
25.07,36.87,189.31
25.03,38.54,188.75
25.05,37.42,190.81
26.13,37.72,194.0301
26.17,38.04,194.34
26.96,38.19,201.46
27,39,202.98
27.46,40.28,203.25
27.43,38.69,201.99
28.61,39.25,204.45
29.37,39.6,206.63
29.63,39.86,207
29.46,40.96,205.96
29.13,40.12,200.51
28.91,39.74,199.92
29.28,39.39,205.88
29.24,39.16,204.44
29.54,39.47,204.19
28.85,39.45,200.59
28.92,39.3,199.91
29.44,40.38,196.97
29.49,40.61,196.23
29.7,40.35,196.48
29.86,40.92,193.32
29.88,40.75,188.95
29.59,40.44,189.87
29.25,39.99,197.8
29.69,39.82,196.43
29.64,40.37,194.67
29.97,41.05,196.98
29.9,40.59,194.17
29.77,40.72,195.03
29.44,40.78,191.86
29.4,40.92,195.43
29.91,41.58,198.23
30.18,41.47,200.36
30.3,41.37,202.1
30.33,41.38,209.04
30.4,41.22,211.61
30.33,40.76,209.1
31.1,41.01,211.64
31.07,40.48,210.732
31.3,40.38,214.01
30.96,40.14,214.38
30.85,40.49,210.97
30.81,40.48,210.58
30.8,40.64,211.98
30.82,40.24,210.11
30.45,39.54,207.72
30.69,40.09,210.65
31.15,39.56,209.43
30.43,39.31,205.93
30.8,39.5,215.04
30.63,39.16,211.725
30.52,39.23,208.072
29.17,39.74,197.75
29.45,40.5,203.075
29.29,40.55,205.94
29.17,40.59,207.884
28.69,39.77,199.29
28.03,39.45,192.063
29.13,40.49,194.73
29.5,41.19,195.86
29.54,41.19,199.23
29.07,40.93,192.05
29.17,40.72,195.46
29.2,40.81,194.12
29.41,41.57,196.19
29.25,42.33,195.116
29.36,42.55,198.67
29.98,42.81,200.38
30.25,42.63,203.4
30.63,42.88,202.55
30.98,40.15,202.928
31.2,40,201.67
31.15,40.24,200.416
30.85,40.22,197.059
31.23,40.46,200.656
31.09,40.73,202
31.46,40.8,204.62
32.09,41.3,208.99
32.36,41.34,208.85
32.44,41.49,209.33
32.26,41.78,210.71
33.16,42.29,218.95
33,42.1,219.08
33.27,41.94,223.02
33.66,42.13,224.84
33.58,42.38,225.5
33.42,42.18,226.6
33.31,42.08,223.84
33.42,42.3,224.45
33.38,42.35,224.12
33.46,42.5,224.65
33.42,43.26,222.2499
33.72,43.64,224.75
34.11,43.96,228.36
33.9,43.39,229.37
34.55,43.02,226.65
34.31,42.48,230.9
34.4,42.19,232.39
34.62,42.23,235.845
34.39,41.92,235
34.55,42.36,235.97
34.82,42.67,238.49
34.56,42.56,239.54
34.29,42.1,240.6
33.99,42.25,239.95
34.23,42.13,241.79
34.21,42.41,242.29
33.9,42.26,242.43
34.41,45.28,245.69
35.63,45.38,248.92
35.27,45.04,247.4
35.16,44.45,247.07
36.29,44.46,244.59
36.13,44.97,259.22
36.44,45.49,266.4695
36.64,46.11,270.83
36.82,46.32,269.5
36.22,45.24,262.04
36.64,45.53,261.6
37.23,45.88,268.64
36.26,45.1,261.09
36.77,46.32,266.35
35.36,45.67,258.68
34.76,45.12,255.985
33.28,44.2,246.25
31.87,43.76,235.86
34.19,45.11,253.99
34.07,45.41,256.52
34.81,45.96,262.09
34.78,45.25,258.36
33.86,44.9,253.82
34.19,45.75,254.22
32.07,45.75,252.36
32.59,46.09,248.34
31.04,48.99,237.76
31.34,49.47,242.32
31.4,49.55,246.76
31.24,51.03,245.22
31.49,50.2,244.109
32.75,51.33,253.35
32.36,51.76,256.88
31.48,50.37,260.83
32.22,51.35,263.95
32.4,51.49,263.12
30.335,50.16,255.965
30.1,48.6,250.94
29.84,49.46,249.33
29.52,49.69,243.2
30.45,50.23,250.51
30.73,50.51,253.51
31.46,50.8,254.28
32.2,52.14,259.69
32.63,51.98,267.25
32.47,51.89,271.87
32.61,51.59,274.074
32.43,51.34,270.17
32.02,50.32,273.85
31.97,50.87,270.97
30.76,50.94,269
30.69,50.9,266.7
30.58,50.47,268.3
29.21,50.28,256.17
28.43,50.18,251.53
28.28,51.7,248.48
27.79,51.01,246.94
27.75,50.5,248.63
28.57,50.89,258.665
28.81,50.82,258.09
28.65,51.27,259.62
28.2,51.46,257.285
28.75,52.65,251.798
28.69,52.6,252.727
28.4,53.06,251.45
27.03,51.34,249.9
27.54,51.96,245.58
27.52,53,251.89
27.58,51.69,254.24
28.72,53.1,259.024
29.3,54.17,259.94
29.64,54.85,259.28
28.87,54.54,264.08
28.78,53.64,260.96
28.15,53.18,258.11
27.93,53.53,257.25
28.82,53.43,261.85
27.84,52.61,261.93
28.29,53.36,262.98
28.46,53.87,261.7
28.73,52.75,260.091
29.82,53.26,261.75
29.46,53.05,259.41
28.22,51.91,250.19
27.53,54.62,251.79
27.35,54.26,249.1
27.16,54.3,247.64
29.28,54.5,251.97
29.44,55.19,253.07
28.54,55.28,249.88
28.56,55.89,249.64
27.96,54.75,245.8
27.36,54.26,239.93
27.69,54.86,242.89
27.51,54.68,240.28
27.96,55.58,241.62
27.68,54.16,242.5
26.97,54.47,243.1
28.29,55.48,250.33
29.21,56.29,252.17
29.85,56.54,258.77
28.99,56.28,257.81
28.84,56.56,262.92
28.93,56.04,263.07
28.91,56.07,263.41
29.13,56.56,267.04
29.17,57.36,268.06
29.41,57.41,270.22
30.04,57.99,276.57
30.55,58.15,275.37
31.03,59.16,283.23
31.15,58.41,283.77
30.76,59.81,287.75
30.56,58.86,288.92
32.09,59.61,292.32
32,59.38,291.164
32.34,59.46,286.86
32.58,59.66,287.37
33.37,58.68,283.75
33.73,58.7,282.52
32.59,57.78,278.64
33.04,58.67,288.94
32.67,58.45,289.19
33.2,58.79,289.22
33.8,58.55,294.07
33.75,59.27,295.36
33.68,59.86,298.54
34.31,59.98,300.14
34.23,59.79,302.31
34.48,60.96,314.74
34.66,60.36,318
34.02,60.39,309.49
34.66,61.15,310.53
34.75,61.01,309.52
34.75,61.4,307.47
34.9,62.08,308.84
34.8,61.86,308.05
34.59,61.42,307.83
34.92,63.88,305.24
34.8,64.98,300.98
34.75,64.76,304.18
35.06,64.57,309.36
35.11,64.94,312.8
35.99,65.81,318.27
36.38,65.63,317.13
36.18,65.97,318.62
35.48,66.01,316.08
35.26,66.72,318.03
35.73,66.34,316.655
36.36,64.53,308.03
36.2,65.21,307.035
35.04,65.29,301.59
35.21,65.5,300.5
36.23,65.51,308.43
36.46,65.07,306.73
36.28,66.46,313.36
35.43,66.27,308.73
36.34,67,314.795
36.35,67.11,315
35.65,66.91,316.87
35.02,65.99,311.15
36.12,66.15,316.4
36.72,67.54,318.15
37.48,68.23,317.44
37.13,68.54,320.15
37.58,67.2,318.21
37.66,67.71,321.01
38.05,67.87,319.7575
38.54,67.92,320.56
38.7,68,321.67
38.9,68.03,320.29
38.48,67.78,320.36
39.74,67.88,321.25
40.54,66.79,320.61
40.63,67.39,322.21
40.83,66.73,324.205
41.06,66.56,325.16
41.07,66.57,323.6
41.92,66.42,324.68
41.51,66.25,325.47
41.69,66.45,325.29
41.59,66.72,323.66
41.43,66.15,322.56
41.88,65.5,329.57
41.49,62.24,331.29
41.4,62.32,334
41.48,60.27,333.73
41.62,61.88,336.12
42.22,62.34,342.455
42.94,61.97,341.64
43.13,62.8,344.42
42.97,62.99,345.68
43.26,63.18,348.48
44.35,62.91,340.65
42.43,63.46,338.84
42.29,63.16,332.68
42.11,63.51,326.72
42.77,63.44,337.45
42.69,64.02,341.4
42.57,64.25,343.85
42.45,64.15,343.21
40.98,64.09,336.1
41.83,63.94,339.32
42.05,63.35,345.03
41.23,61.61,344.32
40.99,62.48,343.44
42.99,63.98,346.5
44.44,64.5,351.88
44.17,64.9,355.2
43.43,66,358.16
44,65.25,354.54
45.02,65.3,356.85
44.79,63.78,359.18
42.65,63.53,359.9
43.57,64.41,363.13
43.92,62.81,358.3
43.92,62.39,350.56
42.49,61.43,338.61
40.45,60.7,342.62
41.15,61.32,342.88
42.36,62.63,348.16
42.08,62.68,353.21
40.68,62.63,349.31
41.46,63.02,352.12
42.82,64.46,359.56
46.75,63.79,360
45.87,63.05,355.36
45.97,64.08,355.76
46.05,64.51,352.47
44.88,64.89,346.67
45.34,65.6,351.99
44.84,65.28,353.56
43.82,65.42,345.43
42.33,64.93,330.01
42.45,64.48,334.64
42.94,64.8,330.67
43.95,65,339.3
43.19,64.99,341.2
43.67,65.34,339.19
43.91,66.52,344.97
44.04,66.26,351.54
43.96,65.62,350.44
44.56,65.59,350.96
45.09,65.91,348.63
44.78,65.62,348.5075
45.14,66.16,344.56
44.83,66.1,341.19
45.34,67.78,338.89
45.29,67.59,338.04
44.87,67.3,338.08
44.89,66.46,335.06
44.99,65.65,330.8
44.94,65.64,332.4
46.59,64,336.13
46.63,63.97,332.42
47.5,63.84,327.46
46.58,64.5,331.85
46.74,65,337.86
48.64,66.13,342.41
49.34,66.42,350.696
48.18,65.73,353.009
49.4,65.91,350.42
50.03,66.35,350.15
50.32,66.18,346.75
49.91,65.46,350.13
50.44,65.44,346.28
50.6,66.06,348.2
49.5,65.76,349.57
49.17,65.86,346.75
49.73,65.05,346.66
49.88,65.51,347.6
50.67,66.28,349.45
50.03,68.83,347.23
50.33,69.41,346.57
52.58,72.16,340.5
52.32,70.18,333.3
51.17,69.72,336.14
51.73,70.66,339.87
51.16,63.49,340.53
50.7,63.27,335.22
49.1,62.99,334.4
48.69,62.2,332.19
49.02,62.49,336.78
49.39,62.66,335
49.6,62.12,337.41
49.87,62.1,347.83
48,61.02,345.51
48.18,60.51,346.102
47.43,59.77,343.44
47.06,58.89,338.04
47.7,58.43,332.04
47.74,58.4,332.24
48.71,58.16,331.49
48.19,57.97,325.9
47.53,57.97,326.6
48.97,57.25,332.44
47.37,57.44,326.75
47.06,58.59,325.16
47.43,58.12,320.26
48.38,59.04,315.32
49.82,58.89,325.3
48.95,58.65,322.61
49.38,59.01,331.23
48.49,57.99,326.35
48.85,58.03,332.04
50.48,58.15,335.26
50.59,57.67,334.04
51.11,58.49,335.67
52,59.1,343.26
51.66,58.42,349.43
51.82,58.11,351.76
52.38,59.52,357.2
50.23,59.12,359.71
49.09,58.52,354
48.07,58.35,353.75
48.14,56.96,358.02
47.33,56.55,357.77
47.08,55.49,364.92
45.46,54.82,373.8
46.94,55.49,376.85
46.92,55.04,386.9
46.92,55.07,387.29
46.89,55.87,393.3
46.4,56.96,398.5
44.84,57.61,403.41
42.46,56.2,392.59
42.18,54.78,391.82
42.16,54.97,390.48
40.79,54.2,396.75
38.94,53.24,388.91
39.2,54.35,392.57
36.91,52.74,377.37
36.59,52.94,373.62
32.56,50.04,353.21
34.21,51.86,374.01
31.85,50.1,363.69
34.51,54.29,373.7
36.21,55.17,376.99
37.5,56.36,383.41
36.63,55.64,380.48
35.8,56.74,380.44
32.23,56.55,366.05
31.08,57.95,356.03
30.5,57.33,356.44
31.86,58.34,373.6
33.08,59.14,376.18
33.03,57.98,373.72
34.87,59.2,383.58
36.72,60.19,389.97
36.62,60.39,389.99
36.87,60.72,384.83
35.84,60.33,381.03
34.4,59.44,374.05
33.92,59.81,379.74
35.69,60.95,383.93
34.14,60.86,384.14
33.36,60.44,377.48
33.41,60.41,379.94
34.78,60.65,384.62
36.58,61.48,389.3
37.04,62.67,392.96
36.36,62.59,400.5
34.96,62.76,411.63
35.05,61.69,413.45
32.25,59.79,412.14
31.29,58.67,401.82
31.68,59.97,404.3
32.39,60.83,403.17
33.56,60.29,399.26
31.64,59.66,397.01
32.52,59,390.57
31.25,58.1,381.32
29.4,56.3,374.6
31.01,58.56,372.5
32.12,58.62,378.25
33.54,59.39,377.37
31.37,59.04,369.8
33.31,60.94,388.81
33.93,60.95,400.29
33.78,60.04,402.19
32.47,59.8,408.43
33.34,60.74,422
33.07,59.58,419.99
33.48,61.58,422.24
32.99,61.8,398.62
33.73,62.38,395.31
35.27,62.92,392.87
37.54,63.55,405.77
35.93,63.54,397.77
35.79,63.34,400.6
40,65.99,404.69
40.89,65.67,404.95
37.07,65.07,404.78
35.29,64.82,396.51
36.16,64.9,397.41
37.13,66.07,403.07
36.91,66.02,400.24
37.74,66.45,399.73
38.75,67.69,406.23
36.07,66.37,395.28
36.86,69.51,385.22
37.46,70.28,384.62
37.55,68.98,379.26
38.25,68.45,388.83
38.58,67.01,384.77
37.21,67.56,377.41
36.81,67.95,374.94
35.79,67.54,369.01
35.58,66.95,376.51
33.6,66.85,366.99
33.83,67.14,363.57
35.16,67.3,376.12
35.02,67.52,373.2
37.5,69.22,382.2
37.82,68.75,387.93
36.76,69.06,389.7
37.06,69.92,393.01
36.98,70.09,390.95
36.66,70,389.09
34.42,69.9,390.66
35.33,70.28,393.62
33.73,69.16,391.84
33.15,67.9,388.81
32.93,66.9,380.19
33.45,67.71,378.94
33.46,68,381.02
33.23,66.99,382.21
34.58,68.99,395.95
34.36,68.5,396.445
34.84,69.38,398.55
35.36,70.25,403.33
35.25,70.92,406.53
34.11,70.26,402.64
35.06,70.35,405.12
34.93,69.63,405
36.48,69.1,411.23
36.19,70.72,413.44
37,71.17,418.03
37.4,71.5,422.4
38.38,71.48,421.73
39.1,71.54,423.24
38.92,72.02,422.55
39.52,71.65,421.39
39.06,71.46,419.81
39.99,72.08,424.7
41.27,73.63,429.11
41.85,75.15,427.75
41,74.75,420.3
41,74.9,427.409
42.6,75.23,420.41
44.05,75.98,446.66
42.66,75.06,444.63
42.68,75.35,447.28
43.16,76.57,453.01
42.47,76.64,456.48
44.19,76.66,456.19
43.72,76.27,455.12
45.28,76.92,459.68
44.66,76.84,463.97
44.6,77.23,468.83
44.97,78.83,476.68
45.09,80.12,493.17
44.14,79.99,493.42
43.84,79.43,502.6
43.78,79.77,509.46
43.64,79.4,497.67
43.83,85.9,502.21
43.14,85.57,502.12
42.61,85.39,514.85
42.72,85.08,513.04
43.41,85.15,516.39
43.02,84.58,522.41
43.35,84.17,525.76
43.63,85.77,535.41
43.62,85.37,542.44
44.16,85.98,544.47
43.72,86.71,545.18
42.78,86.84,533.16
42.28,87.01,530.26
43.46,86.8,530.69
44.28,86.94,541.99
44.55,87.27,545.17
43.62,87.49,552
45.11,88.48,568.1
44.97,89.17,589.58
45.86,89.25,585.56
45.62,88.05,585.57
45.36,88.5,601.1
44.83,88.81,605.96
44.72,89.11,602.5
43.71,89.18,599.34
44.3,88.99,596.05
45.05,90.33,606.98
45.67,90.51,614.48
44.59,88.79,617.62
44.46,87.98,609.86
44.51,88.57,599.55
44.87,88.98,618.63
44.83,90,629.32
43.74,89.73,624.31
44.77,90.2,633.68
43.55,89.82,636.23
42.3,88.28,628.44
42.47,89.66,626.2
43.53,89.95,622.77
42.24,90.15,605.23
41.99,89.7,580.13
42.65,90.19,609.7
42.32,90.68,608.34
41.92,90.87,587.44
42.1,90.78,572.98
41.27,90.59,571.7
39.8,88.85,560.28
41.18,89.64,610
41.99,91.43,607.7
42.56,92.37,603
42.18,91.8,583.98
42.97,90.75,582.13
43.04,92.32,585.98
42.21,91.95,581.82
41.01,90.36,565.25
40.86,90.67,569.48
40.27,89.18,568.18
39.93,88.61,569.18
39.74,89.07,570.52
39.45,88.42,566.71
38.9,82.34,558.22
40.51,81.08,553.17
39.76,82.1,546.075
39.63,68.17,530.12
38.73,66.68,530.38
39.99,69.82,561.28
40.49,68.97,556.97
40.77,71.65,570.56
41.02,72.93,565.32
41.01,73.67,562.29
42.18,74.21,572.27
41.35,72.45,579.17
40.66,72.94,577.73
38.22,71.14,560.99
37.84,70.78,564.29
38.29,72.12,562.83
39.77,73.71,571.46
39.96,73.72,571.72
39.6,74.33,580.32
38.98,72.17,571.17
39.47,73.35,576.16
39,70.54,572.16
39.35,70.66,571.53
40.01,69.74,574.13
40.15,70.69,585.78
41.15,68.86,587.41
40.64,69.03,585.741
39.12,67.23,577.67
39.03,67.93,582.1
37.66,66.48,570.765
37.99,65.85,572.025
38.35,65.59,574.5
37.72,65.71,569.05
39.24,68.22,584
38.91,67.67,592.52
39.54,69.2,599.41
39.37,68.8,609.94
37.97,69.05,605.88
37.62,70.1,613.89
37.49,70.65,608.21
37.19,69.8,604.43
36.52,71.58,598.9
37.04,71.6,604.97
36.83,70.43,606.91
37.34,72.1,606.94
38.36,73.91,606.26
38.46,73.37,614.32
37.56,72.53,604.3
36.69,71.92,603.83
35.61,71.36,600.92
36.14,72.55,574.97
36.61,69.39,574.88
37.94,69.61,585.16
38.18,70.4,595.03
38.29,70.15,610.76
38.18,68.06,606.81
37.75,67.14,607.79
39.11,68.01,615.7
39.23,69.11,622.55
40.25,70.66,620.914
40.66,70.57,619.86
40.8,67.92,620.73
40.53,68.6,621.7
40.38,69.11,630
40.49,70.67,631.69
40.48,71.3,630.83
37.15,72.46,636.34
37.22,72.87,648.11
36.68,71.58,665.15
37.13,72,656.062
37.46,72.2,668.87
37.47,71.96,662.63
37.85,71.97,663.222
37.44,71.4,675.68
36.95,72.09,674.8
37.16,71.44,673.466
37.04,71.02,663.868
37.16,71.12,665.24
37.05,70.26,674.97
36.74,70.24,670.23
37.48,71.32,676.27
38.42,70.39,680.44
38.26,69.86,662.74
37.83,70.55,660.59
37.49,70.59,669.79
38.38,69.47,682.98
39.73,68,691.28
39.63,67.89,699.781
39.55,67.69,701.91
39.88,68.28,702.1
39.23,69.21,698.7
39,68.47,700.095
38.69,67.84,690.79
38.32,67.53,673.54
38.27,67.84,665.18
38.58,68.12,681.32
38.45,68.44,667.105
38.86,67.99,659.39
38.87,68.54,661.31
38.98,68.13,671.45
39.2,69.49,666.8
38.86,69.87,652.59
38.66,70.59,638.17
38.15,69.93,635.85
37.41,69.11,640.91
37.63,68.49,628.1
37.22,67.97,629.714
37.18,67.77,634.76
37.91,68.17,649.7925
38.06,68.35,644.6136
36.64,68.31,632.64
35.75,68.43,609.84
36,66.15,634.03
35.51,67.29,613.3554
35.85,66.85,616.83
36.11,67.9,609.538
35.94,68.14,604
35.9566666666666,69.0733333333333,601.106666666666
35.9733333333333,70.0066666666666,598.213333333333
35.99,70.94,595.32
37.1,81,596.5399
37,79.97,576.8
37.61,80.79,584.6211
38.28,80.44,582.8495
37.58,79.76,558.0019
36.88,79.4,537.75
36.91,78.41,547.06
36.82,78.27,542.83
36.33,79.27,542.898
36.14,77.85,536.88
35.75,77.5,525.62
35.81,76.9,527.678
37.51,77.79,565.73
36.28,77.65,560.9134
35.84,77.93,561.7
36.88,79.04,571.5
37.47,78.16,589.53
37.34,76.61,584.78
37.97,78.07,582.94
38.34,73.93,589.36
38.29,73.15,585.28
37.92,73.17,586.19
38.13,72.38,575.8454
38.66,72.2,538.7923
38.32,71.95,547.2445
37.81,71.62,533.25
38.56,72.7,529.8209
39.7,72.83,541.388
40.51,72.79,539
39.8,73.03,529.69
39.85,72.59,509.794
40.74,73.05,518.83
41.39,72.9,533.9
40.59,72.03,526.31
41.36,71.68,521.7302
41.05,70.27,519.33
41.07,70.78,520.168
40.89,70.6,512.9995
40.64,71.34,515.06
39.83,71.51,509.5892
40.94,72.35,532.1729
41.88,72.49,549.03
42.03,72.49,542.0959
42.86,73.62,527
42.55,73.37,523.9
42.21,72.17,525.31
43.35,72.39,517.1
43.67,71.76,523.51
43.43,72.29,520.3
43.54,72.58,501.75
43.24,73.64,485.92
43.05,73.36,506.09
43.87,73.42,502.68
44.15,73.75,500
44.64,74.08,504.77
44.3,74.75,514.005
44.66,75.01,450.5
45.29,75.25,439.88
45.18,75.94,449.83
44.64,74.57,458.27
44.4,73.53,456.83
44.78,73.52,455.49
45.29,73.66,453.62
44.26,72.23,442.316
45,73.27,457.844
45.09,72.9,457.35
45.01,77.14,468.22
45.08,78.9,474.98
44.6,78.39,479.93
44.62,78.6,467.9
44.75,78.97,467.01
44.58,78.84,466.59
42.25,79,460.16
43.01,80.72,459.99
42.24,79.5,448.85
41.63,79.06,446.06
41.8,79.21,450.81
41.29,78.36,442.8
40.97,77.15,448.97
41.73,77.3,444.57
41.48,76.34,441.4
41.93,76.37,430.47
42.03,77.02,420.05
42.66,76.95,431.144
43.24,76.18,425.662
43.25,76.22,430.582
43.03,76.84,431.72
